run_id,seed,lead_s,anchor,model_variant,test_match,train_lead_s,test_lead_s,n_common,top1,selected_epoch
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.0,454,0.40969162995594716,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.2,721,0.6463245492371706,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.2,454,0.5616740088105727,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.4,721,0.6837725381414702,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.4,454,0.5991189427312775,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.8,721,0.5270457697642164,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.8,454,0.46255506607929514,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,1.2,721,0.4549237170596394,41
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,1.2,454,0.3964757709251101,41
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.0,721,0.4133148404993065,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.0,454,0.41409691629955947,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.2,721,0.6407766990291263,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.2,454,0.5594713656387665,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.4,721,0.7059639389736477,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.4,454,0.5991189427312775,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.8,721,0.5450762829403606,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.8,454,0.4889867841409692,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,1.2,721,0.4590846047156727,40
a95b7a72bb,2,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,1.2,454,0.3854625550660793,40
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.0,721,0.6851595006934813,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.0,454,0.6145374449339207,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.2,721,0.6629680998613038,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.2,454,0.5837004405286343,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.4,721,0.636615811373093,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.4,454,0.5506607929515418,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.8,721,0.5714285714285714,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.8,454,0.5286343612334802,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,1.2,721,0.5117891816920943,29
a95b7a72bb,0,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,1.2,454,0.44493392070484583,29
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.0,721,0.6823855755894591,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.0,454,0.6013215859030837,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.2,721,0.6435506241331485,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.2,454,0.5837004405286343,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.4,721,0.6033287101248266,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.4,454,0.5594713656387665,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.8,721,0.5631067961165048,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.8,454,0.5220264317180616,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,1.2,721,0.49653259361997226,20
a95b7a72bb,1,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,1.2,454,0.43392070484581496,20
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.0,721,0.6685159500693482,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.0,454,0.5969162995594713,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.2,721,0.6324549237170597,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.2,454,0.5572687224669604,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.4,721,0.6213592233009708,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.4,454,0.5374449339207048,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,0.8,721,0.5644937586685159,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,0.8,454,0.5176211453744494,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WMX,0.8,1.2,721,0.5145631067961165,36
a95b7a72bb,2,0.8,emitted_sync_frame,cross_offset,J03WN1,0.8,1.2,454,0.43392070484581496,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.0,721,0.6768377253814147,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.0,454,0.6035242290748899,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.2,721,0.6102635228848821,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.2,454,0.552863436123348,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.4,721,0.5783633841886269,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.4,454,0.5242290748898678,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.8,721,0.5423023578363384,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.8,454,0.5154185022026432,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,1.2,721,0.49653259361997226,36
a95b7a72bb,0,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,1.2,454,0.4581497797356828,36
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.0,721,0.6574202496532594,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.0,454,0.5859030837004405,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.2,721,0.5922330097087378,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.2,454,0.552863436123348,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.4,721,0.5520110957004161,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.4,454,0.4955947136563877,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.8,721,0.5270457697642164,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.8,454,0.4933920704845815,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,1.2,721,0.5104022191400832,29
a95b7a72bb,1,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,1.2,454,0.45154185022026433,29
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.0,721,0.6615811373092927,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.0,454,0.6189427312775331,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.2,721,0.59500693481276,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.2,454,0.552863436123348,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.4,721,0.5631067961165048,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.4,454,0.5088105726872246,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,0.8,721,0.5381414701803051,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,0.8,454,0.526431718061674,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WMX,1.2,1.2,721,0.5173370319001387,26
a95b7a72bb,2,1.2,emitted_sync_frame,cross_offset,J03WN1,1.2,1.2,454,0.45154185022026433,26
