run_id,seed,lead_s,anchor,model_variant,test_match,epoch,train_loss,train_top1,test_J03WMX_top1,test_J03WMX_loss,test_J03WN1_top1,test_J03WN1_loss,val_top1,val_loss
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,11,1.0957329633138495,0.6251042535446205,0.63434898853302,1.0420348644256592,0.5748898386955261,1.1921135187149048,0.6045801639556885,1.0624537467956543
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,12,1.06438312956052,0.6363636363636364,0.6426592469215393,1.023546576499939,0.5881056785583496,1.183638334274292,0.6061068773269653,1.0538219213485718
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,13,1.0367584881730831,0.6305254378648875,0.6578947305679321,1.0004949569702148,0.5792951583862305,1.1829322576522827,0.6152671575546265,1.025732159614563
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,14,1.0276677590593684,0.645954962468724,0.6440442800521851,0.9949825406074524,0.58370041847229,1.17472243309021,0.6183205842971802,1.0291156768798828
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,15,1.0100043339963949,0.6334445371142619,0.6648199558258057,0.9775049686431885,0.5814977884292603,1.1616530418395996,0.6229007840156555,0.9924959540367126
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,16,1.0174219554617965,0.6651376146788991,0.6648199558258057,0.9701698422431946,0.5814977884292603,1.1701401472091675,0.6305343508720398,0.9852867126464844
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,17,0.983359174642889,0.6672226855713094,0.6620498299598694,0.9814130067825317,0.5814977884292603,1.1490556001663208,0.6274809241294861,0.9787346124649048
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,18,0.9524264260567259,0.6668056713928273,0.6537395715713501,0.9869570732116699,0.58370041847229,1.1487678289413452,0.6442748308181763,0.998693585395813
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,19,0.9397491373749352,0.6864053377814846,0.6703600883483887,0.9536296129226685,0.592510998249054,1.1254571676254272,0.6442748308181763,0.984975278377533
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,20,0.9200895411258344,0.6801501251042535,0.6828254461288452,0.9319660067558289,0.5991189479827881,1.1458375453948975,0.6412214040756226,0.9778794646263123
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,21,0.9002316671177385,0.6980817347789825,0.6689750552177429,0.9417221546173096,0.5991189479827881,1.1383906602859497,0.6503816843032837,0.943387508392334
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,22,0.8968849312374252,0.6914095079232694,0.6745151877403259,0.9361376762390137,0.6079294681549072,1.1357494592666626,0.6366412043571472,0.9723783731460571
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,23,0.8844059243412988,0.7022518765638032,0.688365638256073,0.9431554079055786,0.6101321578025818,1.1030936241149902,0.6366412043571472,0.9425191283226013
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,24,0.8706422187170454,0.69557964970809,0.6620498299598694,0.9262521862983704,0.592510998249054,1.1284078359603882,0.6610686779022217,0.9403141140937805
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,25,0.8544195114422879,0.7143452877397831,0.684210479259491,0.8983696103096008,0.6013215780258179,1.1157505512237549,0.658015251159668,0.9473896622657776
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,26,0.84837805389662,0.6989157631359466,0.684210479259491,0.8984825015068054,0.6057268381118774,1.1410605907440186,0.665648877620697,0.916141152381897
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,27,0.83015718298022,0.7160133444537115,0.684210479259491,0.892505943775177,0.592510998249054,1.1348096132278442,0.6641221642494202,0.9117628931999207
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,28,0.8125215070858113,0.7126772310258549,0.6855955719947815,0.9318243861198425,0.5814977884292603,1.1082589626312256,0.6412214040756226,0.9547994136810303
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,29,0.8105491728858216,0.7214345287739783,0.6869806051254272,0.9166290760040283,0.58370041847229,1.1480387449264526,0.6595419645309448,0.9385697245597839
