run_id,seed,lead_s,anchor,model_variant,test_match,provider,match,probe,n,n_defined,accuracy,accuracy_where_defined,nearest_teammate,excess
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_max_abs,659,646,0.2959028831562974,0.3018575851393189,0.26251896813353565,0.03338391502276178
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,nearest_teammate,659,659,0.25796661608497723,0.25796661608497723,0.25796661608497723,0.0
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,ball_direction,659,659,0.27617602427921095,0.27617602427921095,0.25796661608497723,0.018209408194233723
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,passer_direction,659,659,0.3156297420333839,0.3156297420333839,0.25796661608497723,0.05766312594840667
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_min_abs,659,647,0.12898330804248861,0.13137557959814528,0.25796661608497723,-0.12898330804248861
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_max_abs,659,647,0.22458270106221548,0.2287480680061824,0.25796661608497723,-0.03338391502276175
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WOH,nearest_teammate,503,503,0.268389662027833,0.268389662027833,0.268389662027833,0.0
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WOH,ball_direction,503,503,0.5964214711729622,0.5964214711729622,0.268389662027833,0.3280318091451292
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WOH,passer_direction,503,503,0.38767395626242546,0.38767395626242546,0.268389662027833,0.11928429423459247
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WOH,masella_min_abs,503,495,0.019880715705765408,0.020202020202020204,0.268389662027833,-0.24850894632206758
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WOH,masella_max_abs,503,495,0.40159045725646125,0.4080808080808081,0.268389662027833,0.13320079522862827
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WOH,nearest_teammate,503,503,0.26043737574552683,0.26043737574552683,0.26043737574552683,0.0
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WOH,ball_direction,503,503,0.4115308151093439,0.4115308151093439,0.26043737574552683,0.15109343936381708
