match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id,orientation,ev_x,ev_y,ball_to_passer,sync_frame,naive_frame,dist_before,dist_after
J03WMX,firstHalf,Home,Play_Pass,675.394,2023-05-27 15:41:27.624000+02:00,74.14,1.91,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,21.64,-32.09,0.7199999999999989,16875,16884,4.155309856075716,2.1600231480241114
J03WMX,firstHalf,Home,Play_Pass,677.36,2023-05-27 15:41:29.590000+02:00,86.56,13.54,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,,shift only,34.06,-20.46,0.7559100475585694,16945,16934,2.873134177166113,2.2810743083029976
J03WMX,firstHalf,Home,Play_Pass,681.249,2023-05-27 15:41:33.479000+02:00,92.58,39.01,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,,shift only,40.08,5.009999999999998,0.40853396431630934,17000,17031,11.83862323076463,1.90412709659833
J03WMX,firstHalf,Home,Play_Pass,686.37,2023-05-27 15:41:38.600000+02:00,77.45,55.56,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,,shift only,24.950000000000003,21.560000000000002,0.544058820349419,17099,17159,24.43715408962345,1.4142135623730976
J03WMX,firstHalf,Home,Play_Pass,690.811,2023-05-27 15:41:43.041000+02:00,85.16,32.6,12,7,DFL-OBJ-002G4A,DFL-OBJ-0027B6,,shift only,32.66,-1.3999999999999986,0.6744627491566902,17253,17270,16.595592788448382,14.64931397711169
J03WMX,firstHalf,Home,Play_Pass,696.482,2023-05-27 15:41:48.712000+02:00,67.03,63.59,7,4,DFL-OBJ-0027B6,DFL-OBJ-0002HE,,shift only,14.530000000000001,29.590000000000003,0.7009279563550024,17357,17412,30.723855552322856,5.982942419913469
J03WMX,firstHalf,Home,Play_Pass,701.697,2023-05-27 15:41:53.927000+02:00,87.07,36.31,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,,shift only,34.56999999999999,2.3100000000000023,0.7615773105863933,17528,17542,6.355407146674397,0.6876772498781631
J03WMX,firstHalf,Home,Play_Pass,703.657,2023-05-27 15:41:55.887000+02:00,84.16,19.36,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,,shift only,31.659999999999997,-14.64,0.650691939399896,17587,17591,3.282209621581166,0.9033825324855418
J03WMX,firstHalf,Home,Play_Pass,707.125,2023-05-27 15:41:59.355000+02:00,73.44,3.01,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,20.939999999999998,-30.990000000000002,0.1208304597359455,17668,17678,2.330257496501193,1.5772444325468342
J03WMX,firstHalf,Home,Play_Pass,710.652,2023-05-27 15:42:02.882000+02:00,81.46,12.44,16,12,DFL-OBJ-J01D1W,DFL-OBJ-002G4A,,shift only,28.959999999999994,-21.560000000000002,0.5682429058070146,17733,17766,12.286708265438717,1.9921094347449968
J03WMX,firstHalf,Home,Play_Pass,713.381,2023-05-27 15:42:05.611000+02:00,77.45,30.49,12,18,DFL-OBJ-002G4A,DFL-OBJ-002GKO,,shift only,24.950000000000003,-3.5100000000000016,0.6338769596696195,17830,17834,1.8585209172888018,0.7582216034906932
J03WMX,firstHalf,Home,Play_Pass,804.431,2023-05-27 15:43:36.661000+02:00,29.36,65.19,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,,shift only,-23.14,31.189999999999998,1.7483706700811454,20069,20110,7.180842568946904,3.086389476394704
J03WMX,firstHalf,Home,Play_Pass,836.45,2023-05-27 15:44:08.680000+02:00,39.48,47.04,0,16,DFL-OBJ-0027AX,DFL-OBJ-J01D1W,,shift only,-13.020000000000003,13.04,0.15264337522473725,20841,20911,25.84222320157459,2.9052366512902164
J03WMX,firstHalf,Home,Play_Pass,838.874,2023-05-27 15:44:11.104000+02:00,59.01,25.27,16,0,DFL-OBJ-J01D1W,DFL-OBJ-0027AX,,shift only,6.509999999999998,-8.73,0.8516454661418685,20924,20971,8.340863264674706,1.2384264209067881
J03WMX,firstHalf,Home,Play_Pass,842.061,2023-05-27 15:44:14.291000+02:00,55.31,35.6,0,7,DFL-OBJ-0027AX,DFL-OBJ-0027B6,,shift only,2.8100000000000023,1.6000000000000014,0.5692099788303083,20986,21051,27.38097514698846,3.8553858432068786
J03WMX,firstHalf,Home,Play_Pass,842.981,2023-05-27 15:44:15.211000+02:00,53.7,66.09,7,14,DFL-OBJ-0027B6,DFL-OBJ-J01BGM,,shift only,1.2000000000000028,32.09,1.0744766167767477,21066,21074,4.024636629560491,1.0584894897919375
J03WMX,firstHalf,Home,Play_Pass,847.095,2023-05-27 15:44:19.325000+02:00,36.67,48.04,14,5,DFL-OBJ-J01BGM,DFL-OBJ-0002BO,,shift only,-15.829999999999998,14.04,1.8225805880673716,21174,21177,11.61759441536844,10.989253841822018
J03WMX,firstHalf,Home,Play_Pass,861.242,2023-05-27 15:44:33.472000+02:00,26.95,66.4,14,5,DFL-OBJ-J01BGM,DFL-OBJ-0002BO,,shift only,-25.55,32.400000000000006,5.331913352634304,21464,21531,16.001953005805266,3.980577847499033
J03WMX,firstHalf,Home,Play_Pass,861.85,2023-05-27 15:44:34.080000+02:00,33.76,66.5,5,18,DFL-OBJ-0002BO,DFL-OBJ-002GKO,,shift only,-18.740000000000002,32.5,0.3190611226708769,21464,21546,17.69491734934074,4.127238786404293
J03WMX,firstHalf,Home,Play_Pass,862.05,2023-05-27 15:44:34.280000+02:00,24.75,61.08,18,0,DFL-OBJ-002GKO,DFL-OBJ-0027AX,,shift only,-27.75,27.08,0.9436630754670862,21486,21551,14.929115847899364,2.291724241700996
J03WMX,firstHalf,Home,Play_Pass,865.258,2023-05-27 15:44:37.488000+02:00,32.56,49.35,0,2,DFL-OBJ-0027AX,DFL-OBJ-00012X,,shift only,-19.939999999999998,15.350000000000001,1.104943437466372,21553,21631,26.46453664812592,1.8034688796871443
J03WMX,firstHalf,Home,Play_Pass,867.262,2023-05-27 15:44:39.492000+02:00,32.06,21.16,2,12,DFL-OBJ-00012X,DFL-OBJ-002G4A,,shift only,-20.439999999999998,-12.84,0.2109502310972907,21625,21681,11.663811555405035,0.8061017305526621
J03WMX,firstHalf,Home,Play_Pass,870.261,2023-05-27 15:44:42.491000+02:00,39.38,29.69,12,9,DFL-OBJ-002G4A,DFL-OBJ-0028BD,,shift only,-13.119999999999997,-4.309999999999999,0.5412023651093919,21753,21756,4.6499892472993976,2.1617122842783685
J03WMX,firstHalf,Home,Play_Pass,933.639,2023-05-27 15:45:45.869000+02:00,28.25,66.29,7,18,DFL-OBJ-0027B6,DFL-OBJ-002GKO,,shift only,-24.25,32.290000000000006,2.8568689154387186,23307,23340,12.652292282428512,4.438490734472701
J03WMX,firstHalf,Home,Play_Pass,934.489,2023-05-27 15:45:46.719000+02:00,14.53,63.79,18,5,DFL-OBJ-002GKO,DFL-OBJ-0002BO,,shift only,-37.97,29.79,0.18357559750686134,23334,23362,5.194660720393581,1.999124808509965
J03WMX,firstHalf,Home,Play_Pass,1056.221,2023-05-27 15:47:48.451000+02:00,80.55,55.86,12,5,DFL-OBJ-002G4A,DFL-OBJ-0002BO,,shift only,28.049999999999997,21.86,0.8357032966310485,26352,26405,6.180978886875446,5.240238544188611
J03WMX,firstHalf,Home,Play_Pass,1058.146,2023-05-27 15:47:50.376000+02:00,86.36,59.58,5,3,DFL-OBJ-0002BO,DFL-OBJ-000270,,shift only,33.86,25.58,2.7501636314954037,26407,26453,13.573418876613216,2.056428943581566
J03WMX,firstHalf,Home,Play_Pass,1204.597,2023-05-27 15:50:16.827000+02:00,92.78,8.42,2,9,DFL-OBJ-00012X,DFL-OBJ-0028BD,,shift only,40.28,-25.58,0.5220153254455293,30087,30114,14.19552394242636,0.3894868418830108
J03WMX,firstHalf,Home,Play_Pass,1241.584,2023-05-27 15:50:53.814000+02:00,86.56,22.67,12,4,DFL-OBJ-002G4A,DFL-OBJ-0002HE,,shift only,34.06,-11.329999999999998,0.5818075283115554,31032,31039,3.3518054836162556,3.870012919875074
J03WMX,firstHalf,Home,Play_Pass,1246.01,2023-05-27 15:50:58.240000+02:00,95.98,43.53,4,3,DFL-OBJ-0002HE,DFL-OBJ-000270,,shift only,43.480000000000004,9.530000000000001,0.8220097323024829,31129,31150,15.575397266201596,1.020784012413988
J03WMX,firstHalf,Home,Play_Pass,1249.494,2023-05-27 15:51:01.724000+02:00,60.42,23.67,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,,shift only,7.920000000000002,-10.329999999999998,1.080185169311262,31217,31237,7.2692021570458465,1.4733974345029917
J03WMX,firstHalf,Home,Play_Pass,1251.669,2023-05-27 15:51:03.899000+02:00,72.24,22.47,18,16,DFL-OBJ-002GKO,DFL-OBJ-J01D1W,,shift only,19.739999999999995,-11.530000000000001,0.8926925562588731,31267,31291,13.365904383916563,2.614517163837332
J03WMX,firstHalf,Home,Play_Pass,1253.421,2023-05-27 15:51:05.651000+02:00,78.15,10.23,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,,shift only,25.650000000000006,-23.77,0.48104053883222764,31313,31335,14.578408692309328,2.3713498265755737
J03WMX,firstHalf,Home,Play_Pass,1259.365,2023-05-27 15:51:11.595000+02:00,63.72,3.21,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,,shift only,11.219999999999999,-30.79,0.470425339453562,31484,31484,25.61209284693463,25.61209284693463
J03WMX,firstHalf,Home,Play_Pass,1262.285,2023-05-27 15:51:14.515000+02:00,31.46,19.46,0,14,DFL-OBJ-0027AX,DFL-OBJ-J01BGM,,shift only,-21.04,-14.54,0.05000000000000071,31551,31557,3.5227829907617094,4.920050812745739
J03WMX,firstHalf,Home,Play_Pass,1346.893,2023-05-27 15:52:39.123000+02:00,55.1,49.45,5,18,DFL-OBJ-0002BO,DFL-OBJ-002GKO,,shift only,2.6000000000000014,15.450000000000003,5.748782479795177,33677,33672,20.22665568006733,21.44629105463227
J03WMX,firstHalf,Home,Play_Pass,1348.97,2023-05-27 15:52:41.200000+02:00,42.98,46.54,18,3,DFL-OBJ-002GKO,DFL-OBJ-000270,,shift only,-9.520000000000003,12.54,0.13601470508735322,33677,33724,23.0244261600588,9.271855262028195
J03WMX,firstHalf,Home,Play_Pass,1351.85,2023-05-27 15:52:44.080000+02:00,20.34,51.45,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,,shift only,-32.16,17.450000000000003,0.6720863039818629,33732,33796,31.914455972176626,2.644617174564217
J03WMX,firstHalf,Home,Play_Pass,1525.027,2023-05-27 15:55:37.257000+02:00,74.44,25.88,12,4,DFL-OBJ-002G4A,DFL-OBJ-0002HE,,shift only,21.939999999999998,-8.120000000000001,6.6800074850257465,38043,38125,7.147649963449527,14.754677224527818
J03WMX,firstHalf,Home,Play_Pass,1528.258,2023-05-27 15:55:40.488000+02:00,78.25,41.32,4,2,DFL-OBJ-0002HE,DFL-OBJ-00012X,,shift only,25.75,7.32,1.1461239025515522,38206,38206,3.111687644992665,3.111687644992665
J03WMX,firstHalf,Home,Play_Pass,1531.311,2023-05-27 15:55:43.541000+02:00,54.0,1.6,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,1.5,-32.4,2.628003044138266,38282,38282,1.3544002362669596,1.3544002362669596
J03WMX,firstHalf,Home,Play_Pass,1553.676,2023-05-27 15:56:05.906000+02:00,60.01,33.5,12,2,DFL-OBJ-002G4A,DFL-OBJ-00012X,,shift only,7.509999999999998,-0.5,0.3512833614050057,38815,38841,7.314164340510815,2.156687274502264
J03WMX,firstHalf,Home,Play_Pass,1558.311,2023-05-27 15:56:10.541000+02:00,55.61,18.45,2,3,DFL-OBJ-00012X,DFL-OBJ-000270,,shift only,3.1099999999999994,-15.55,1.3001538370516008,38948,38957,7.587522652354984,0.04123105625617616
J03WMX,firstHalf,Home,Play_Pass,1572.548,2023-05-27 15:56:24.778000+02:00,49.79,47.54,7,0,DFL-OBJ-0027B6,DFL-OBJ-0027AX,,shift only,-2.710000000000001,13.54,0.6870953354520742,39298,39313,18.28628447771717,12.309610066935507
