match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id
J03WMX,firstHalf,Home,Play_Pass,842.061,2023-05-27 15:44:14.291000+02:00,55.31,35.6,0,7,DFL-OBJ-0027AX,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,842.981,2023-05-27 15:44:15.211000+02:00,53.7,66.09,7,14,DFL-OBJ-0027B6,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Pass,847.095,2023-05-27 15:44:19.325000+02:00,36.67,48.04,14,5,DFL-OBJ-J01BGM,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,861.242,2023-05-27 15:44:33.472000+02:00,26.95,66.4,14,5,DFL-OBJ-J01BGM,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,861.85,2023-05-27 15:44:34.080000+02:00,33.76,66.5,5,18,DFL-OBJ-0002BO,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,862.05,2023-05-27 15:44:34.280000+02:00,24.75,61.08,18,0,DFL-OBJ-002GKO,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,865.258,2023-05-27 15:44:37.488000+02:00,32.56,49.35,0,2,DFL-OBJ-0027AX,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,867.262,2023-05-27 15:44:39.492000+02:00,32.06,21.16,2,12,DFL-OBJ-00012X,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,870.261,2023-05-27 15:44:42.491000+02:00,39.38,29.69,12,9,DFL-OBJ-002G4A,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,933.639,2023-05-27 15:45:45.869000+02:00,28.25,66.29,7,18,DFL-OBJ-0027B6,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,934.489,2023-05-27 15:45:46.719000+02:00,14.53,63.79,18,5,DFL-OBJ-002GKO,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,1056.221,2023-05-27 15:47:48.451000+02:00,80.55,55.86,12,5,DFL-OBJ-002G4A,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,1058.146,2023-05-27 15:47:50.376000+02:00,86.36,59.58,5,3,DFL-OBJ-0002BO,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1204.597,2023-05-27 15:50:16.827000+02:00,92.78,8.42,2,9,DFL-OBJ-00012X,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,1241.584,2023-05-27 15:50:53.814000+02:00,86.56,22.67,12,4,DFL-OBJ-002G4A,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1246.01,2023-05-27 15:50:58.240000+02:00,95.98,43.53,4,3,DFL-OBJ-0002HE,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1249.494,2023-05-27 15:51:01.724000+02:00,60.42,23.67,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,1251.669,2023-05-27 15:51:03.899000+02:00,72.24,22.47,18,16,DFL-OBJ-002GKO,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,1253.421,2023-05-27 15:51:05.651000+02:00,78.15,10.23,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,1259.365,2023-05-27 15:51:11.595000+02:00,63.72,3.21,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,1262.285,2023-05-27 15:51:14.515000+02:00,31.46,19.46,0,14,DFL-OBJ-0027AX,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Pass,1346.893,2023-05-27 15:52:39.123000+02:00,55.1,49.45,5,18,DFL-OBJ-0002BO,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,1348.97,2023-05-27 15:52:41.200000+02:00,42.98,46.54,18,3,DFL-OBJ-002GKO,DFL-OBJ-000270,
J03WMX,firstHalf,Home,Play_Pass,1351.85,2023-05-27 15:52:44.080000+02:00,20.34,51.45,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,1525.027,2023-05-27 15:55:37.257000+02:00,74.44,25.88,12,4,DFL-OBJ-002G4A,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,1528.258,2023-05-27 15:55:40.488000+02:00,78.25,41.32,4,2,DFL-OBJ-0002HE,DFL-OBJ-00012X,
